015265,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
052395,van Beethoven,Ludwig,Piano Sonata No. 23,GAxvi/146
048350,Haydn,Joseph,The Creation,Hob.XXI:2
001096,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
031322,Bach,Johann Sebastian,Suite No. 1 in G major,BWV1007
062667,Wagner,Richard,Parsifal,WWV111
085171,Haydn,Joseph,The Creation,Hob.XXI:2
004397,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
001015,Wagner,Richard,Der fliegende Holländer,WWV63
054856,Wagner,Richard,Tristan und Isolde,WWV90
089801,Wagner,Richard,Parsifal,WWV111
083448,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
007632,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
069425,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
061901,Wagner,Richard,Der fliegende Holländer,WWV63
064969,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
088590,Wagner,Richard,Das Rheingold,WWV86A
057016,Haydn,Joseph,String Quartet No. 62,Hob.III:77
098260,Wagner,Richard,Der fliegende Holländer,WWV63
093149,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
085548,van Beethoven,Ludwig,Symphony No. 5,GAi/5
042044,Bach,Johann Sebastian,Mass in B minor,BWV232
005253,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
081144,Bach,Johann Sebastian,The Art of Fugue,BWV1080
036036,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
002218,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
091540,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
023218,Bach,Johann Sebastian,St Matthew Passion,BWV244
085970,van Beethoven,Ludwig,Symphony No. 5,GAi/5
068197,van Beethoven,Ludwig,Piano Sonata No. 23,GAxvi/146
033234,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
017076,Bach,Johann Sebastian,The Art of Fugue,BWV1080
040045,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
021962,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
040902,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
087393,Mozart,Wolfgang Amadeus,Symphony No. 40,KV550
013874,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
096924,van Beethoven,Ludwig,Symphony No. 5,GAi/5
071959,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
