008766,Wagner,Richard,Tristan und Isolde,WWV90
018929,Smetana,Bedřich,Libuše,JB1:102
098376,Bach,Johann Sebastian,Mass in B minor,BWV232
042472,Bach,Johann Sebastian,St Matthew Passion,BWV244
033965,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
067618,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
055855,Handel,George Frideric,Messiah,HWV56
066411,Wagner,Richard,Parsifal,WWV111
057359,Wagner,Richard,Parsifal,WWV111
049985,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
093106,Bach,Johann Sebastian,The Art of Fugue,BWV1080
063143,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
016578,Mozart,Wolfgang Amadeus,Symphony No. 40,KV550
095763,van Beethoven,Ludwig,Symphony No. 7,GAi/7
010668,Bach,Johann Sebastian,Goldberg Variations,BWV988
033297,Dvořák,Antonín,Rusalka,B203
022578,Dvořák,Antonín,Rusalka,B203
062247,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
084276,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
050898,Smetana,Bedřich,Libuše,JB1:102
005607,van Beethoven,Ludwig,Symphony No. 7,GAi/7
000004,Mozart,Wolfgang Amadeus,Symphony No. 40,KV550
000410,Wagner,Richard,Parsifal,WWV111
038162,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
093263,Smetana,Bedřich,Má vlast,JB1:112
048402,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
077834,Bach,Johann Sebastian,St Matthew Passion,BWV244
098877,Bach,Johann Sebastian,Suite No. 3 in D major,BWV1068
027831,Wagner,Richard,Tristan und Isolde,WWV90
099021,Haydn,Joseph,String Quartet No. 62,Hob.III:77
057541,Bach,Johann Sebastian,The Art of Fugue,BWV1080
076084,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
029263,Haydn,Joseph,String Quartet No. 62,Hob.III:77
066886,Smetana,Bedřich,Libuše,JB1:102
026288,Haydn,Joseph,String Quartet No. 62,Hob.III:77
096085,Bach,Johann Sebastian,Mass in B minor,BWV232
066495,van Beethoven,Ludwig,Symphony No. 7,GAi/7
000846,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
002850,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
046095,Wagner,Richard,Tristan und Isolde,WWV90
