054354,Wagner,Richard,Tannhäuser und der Sängerkrieg auf Wartburg,WWV70
008734,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
054697,Mozart,Wolfgang Amadeus,Requiem in D minor,KV626
036954,Smetana,Bedřich,Libuše,JB1:102
055466,Mozart,Wolfgang Amadeus,Symphony No. 29,KV201
091027,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
015803,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
069228,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
061976,Mozart,Wolfgang Amadeus,Symphony No. 25,KV183
009969,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
052836,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
080741,Mozart,Wolfgang Amadeus,Symphony No. 25,KV183
099344,Wagner,Richard,Lohengrin,WWV75
089026,Haydn,Joseph,String Quartet No. 62,Hob.III:77
002203,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
002675,Wagner,Richard,Der fliegende Holländer,WWV63
024667,Mozart,Wolfgang Amadeus,Sinfonia Concertante for Violin, Viola and Orchestra,KV364
056620,Mozart,Wolfgang Amadeus,Symphony No. 25,KV183
085653,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
054238,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
082404,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
075921,Bach,Johann Sebastian,Mass in B minor,BWV232
005751,Bach,Johann Sebastian,Mass in B minor,BWV232
007566,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
002156,Wagner,Richard,Tannhäuser und der Sängerkrieg auf Wartburg,WWV70
046776,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
049158,Bach,Johann Sebastian,Mass in B minor,BWV232
077805,Wagner,Richard,Lohengrin,WWV75
086557,Wagner,Richard,Tannhäuser und der Sängerkrieg auf Wartburg,WWV70
051606,Smetana,Bedřich,Libuše,JB1:102
056817,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
061902,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
062624,Bach,Johann Sebastian,Goldberg Variations,BWV988
048048,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
012792,Mozart,Wolfgang Amadeus,Symphony No. 29,KV201
052663,Wagner,Richard,Parsifal,WWV111
031476,Mozart,Wolfgang Amadeus,Don Giovanni,KV527
055808,Mozart,Wolfgang Amadeus,Don Giovanni,KV527
039840,Mozart,Wolfgang Amadeus,Don Giovanni,KV527
006136,Smetana,Bedřich,Libuše,JB1:102
087904,Wagner,Richard,Der fliegende Holländer,WWV63
002657,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
